open	close	type	description	rev
12/29/06	12/29/06	done	missing files dlg freezes app if CPU saturated; set visible in resource for modal dlgs	1.3.03
12/30/06	12/30/06	done	VideoInfoStruct must include orientation	1.3.04
12/30/06	12/30/06	done	add error message for unsupported bit depth, distinct from invalid bit depth	1.3.04
01/03/07	01/03/07	done	add enable checkbox to patch bay row	1.3.05
01/03/07	01/03/07	done	for bypass via MIDI, don't touch document modified flag	1.3.05
01/09/07	01/09/07	done	if no idle time, floating a control bar doesn't recalc layout; check for idle layout in OnTimer	1.3.06
01/09/07	01/09/07	done	floating sizing bar's close button doesn't work if no idle time; customize mini dock frame	1.3.06
01/09/07	01/09/07	done	allocate aux frame on heap to avoid Warning: calling DestroyWindow in CWnd::~CWnd	1.3.06
01/10/07	01/10/07	done	patch bay's context menu doesn't show hints in status bar	1.3.06
08/02/06	01/12/07	done	lock out task-switching keys in exclusive mode	1.3.07
10/06/06	01/12/07	done	add monitor dock bar	1.3.07
10/06/06	01/12/07	done	add file browser dock bar for plugins/projects/clips	1.3.07
01/01/07	01/13/07	done	changing an input shouldn't redraw entire patch bay; add OnRoutingChange	1.3.07
08/02/06	01/18/07	done	make main window full-screen in dual-monitor mode	1.3.08
01/12/07	01/18/07	done	add option to disable save changes warning	1.3.08
08/02/06	01/19/07	done	lock out unsafe commands in single-monitor exclusive mode	1.3.08
01/12/07	01/19/07	done	MIDI setup should be a dock bar instead of a modal dialog	1.3.08
01/18/07	01/19/07	done	if patch bay is floating, closing app causes IsWindowVisible in OnSlotChange to assert	1.3.08
01/19/07	01/19/07	done	loading a totally empty project fails to delete parameter rows	1.3.08
01/21/07	01/21/07	done	replace AfxGetMainWnd with GetThis	1.3.08
01/24/07	01/24/07	done	open/save project/plugin via main menu doesn't update current folder in file browser	1.3.08
01/27/07	01/27/07	done	if output is full-screen on secondary monitor but NOT exclusive, Alt+Tab should work	1.3.08
01/30/07	01/30/07	done	File/New doesn't reset master speed	1.3.08
12/27/06	01/31/07	done	metaplugin authoring, as in FreeChain	1.4.00
01/30/07	01/31/07	done	right-click within main view but not on row should show insert context menu	1.4.00
02/07/07	02/09/07	done	in plugin properties, min and max frames captions are reversed	1.4.01
02/07/07	02/09/07	done	importing linked metaplugin should use same plugin search method as loading DLL	1.4.01
02/07/07	02/09/07	done	get number of input frames from plugin's max input frames instead of min	1.4.01
03/01/07	03/02/07	done	hook keyboard in SetExclusive instead of during startup	1.4.01
02/21/07	03/05/07	done	make codec settings persistent (mb)	1.4.02
03/07/07	03/07/07	done	plugins dragged onto patch bay are misplaced if dropped below multi-input plugins 	1.4.03
03/07/07	03/07/07	done	dragging plugins from Explorer onto patch bay doesn't work as expected	1.4.03
03/07/07	03/07/07	done	plugins dragged onto patch bay may be misplaced if patch bay is floating over tabs	1.4.03
03/07/07	03/08/07	done	disable F1 (help) in veejay mode	1.4.03
03/08/07	03/09/07	done	changing plugin frame size doesn't update centering in monitor control bar	1.4.03
06/13/07	07/11/07	done	wheel/arrows can move a hidden slider with input focus, potentially crashing app	1.4.04
07/14/07	07/16/07	done	in file browser, if last item has focus, pressing alpha key crashes app	1.4.05
07/14/07	07/16/07	done	selecting menu commands via Alt key doesn't work in some cases	1.4.05
07/21/07	07/21/07	done	in any parameter row, right-clicking on parameter name focuses first row's slider	1.4.06
06/01/07	07/22/07	done	add global plugin feature for applying effect(s) to all projects	1.5.00
06/17/07	07/29/07	done	add command to create metaparameters for all of a plugin's parameters at once	1.5.00
07/28/07	07/29/07	done	in dual-monitor full-screen mode, if cursor is over secondary monitor, hide it	1.5.00
07/29/07	07/29/07	done	if monitor bar is resized while app is paused, monitor view is not repainted	1.5.00
07/29/07	07/29/07	done	init project doesn't reset solo state in GUI	1.5.00
08/05/06	08/02/07	done	add job queue, like VirtualDub's; must restore video compression dialog state	1.5.01
08/01/07	08/02/07	done	import metaplugin sets m_DocPath to document filename instead of path	1.5.01
08/02/07	08/02/07	done	when imported metaplugin is saved as a project, project isn't added to recent files	1.5.01
08/03/07	08/12/07	done	shutdown feature should display warning dialog with progress bar and cancel button	1.5.01
09/09/07	10/05/07	done	add thumbnail view for clips in file browser; optionally cache thumbnails	1.6.00
09/09/07	10/05/07	done	file browser's report view column widths should persist in registry	1.6.00
09/17/07	10/05/07	done	should be able set each file browser pane to a different view type	1.6.00
11/19/07	11/24/07	done	support Unicode	1.6.01
11/11/07	11/26/07	done	recent global plugin list only stores three items instead of four; don't add empty paths	1.6.02
09/20/06	11/28/07	done	DragTabCtrl should set capture, and Esc key should abort drag	1.6.02
11/19/07	11/28/07	done	during drag from file browser, if browser doesn't have focus, Esc key doesn't cancel	1.6.02
11/13/07	11/29/07	done	can't undo rename in file browser	1.6.02
11/29/07	11/30/07	done	closing console crashes app or causes leaks; try SetConsoleCtrlHandler	1.6.02
11/29/07	12/03/07	done	if file browser bar is floating on startup, list control is not sized	1.6.03
08/01/07	12/07/07	done	monitor bar should be able to show any plugin's output; selection via context menu	1.6.03
01/01/07	12/08/07	done	in exclusive mode, starting task manager via Ctrl+Alt+Del crashes app	1.6.03
01/01/07	12/08/07	done	if output window is minimized, entering exclusive mode doesn't work	1.6.03
11/19/07	12/17/07	done	support MPEG clips by creating AviSynth script in temporary folder	1.6.03
03/03/07	12/22/07	done	SetMidiAssignments should check parameter index against NumParams	1.6.04
12/21/07	12/22/07	done	in dual-monitor exclusive mode, cursor is visible along edges of secondary monitor 	1.6.04
12/22/07	12/22/07	done	if redo can't load a plugin, redoing metaparameters for that plugin crashes app	1.6.04
12/22/07	12/22/07	done	can't read project containing unassigned metaparameter(s)	1.6.04
12/22/07	12/22/07	done	in metaparameter properties dialog, setting target to none doesn't undo correctly	1.6.04
12/22/07	12/22/07	done	while learning MIDI setup, if UpdateView deletes selected row, MIDI input crashes app	1.6.04
12/29/07	12/22/07	done	assigning MIDI to Bypass of a plugin that follows an empty slot crashes app	1.6.04
01/27/07	01/04/08	done	should be able to assign a MIDI controller to multiple targets; use metaparameter groups	1.7.00
12/20/07	01/04/08	done	metaparameter grouping, so multiple properties can be controlled by one host parameter	1.7.00
01/05/08	01/07/08	done	for parameters and metaparameters, undoing slider edit truncates value	1.7.01
01/09/08	01/09/08	done	static text controls display ampersand as underline; check no prefix option in resource	1.7.01
01/09/08	01/09/08	done	decorate group name to visually distinguish between master and slave metaparameters	1.7.01
01/15/08	01/15/08	done	replace OnNotify with individual notification handlers	1.7.01
01/17/08	01/17/08	done	closing app while help is visible causes crash, since version 1.3	1.7.01
01/29/08	01/29/08	done	increase compiler warning level to W4	1.7.02
01/30/08	01/30/08	done	in job control dialog, while dragging, Esc should cancel drag instead of closing dialog	1.7.03
03/29/10	04/15/10	done	use actual plugins, display output	2.0.00.01
03/29/10	04/16/10	done	add parameters	2.0.00.01
03/29/10	04/19/10	done	add oscillators	2.0.00.01
04/17/10	04/19/10	done	file new isn't working	2.0.00.01
04/19/10	04/19/10	done	mod range in doc doesn't show	2.0.00.01
04/19/10	04/19/10	done	slider selection	2.0.00.01
04/19/10	04/19/10	done	slider automation	2.0.00.01
04/17/10	04/20/10	done	loading metaplugin crashes; enforce min inputs	2.0.00.01
04/19/10	04/20/10	done	clicking a modulating slider doesn't work	2.0.00.01
04/19/10	04/20/10	done	plugin tabs in parameters view	2.0.00.01
04/19/10	04/20/10	done	parameter and patch bay views are reversed	2.0.00.01
04/19/10	04/21/10	done	render window doesn't paint in pause; can't call Render, m_CurFrame is null while stopped	2.0.00.01
04/19/10	04/21/10	done	modulation enable icon in view header	2.0.00.01
04/20/10	04/21/10	done	patchbay click should update rows	2.0.00.01
04/20/10	04/21/10	done	drag tab doesn't select moved plugin	2.0.00.01
04/20/10	04/21/10	done	patchbay drag	2.0.00.01
04/20/10	04/21/10	done	patchbay bypass	2.0.00.01
04/21/10	04/21/10	done	patchbay drag doesn't update current selection correctly	2.0.00.01
04/21/10	04/21/10	done	tabs flicker during slot change; update existing tabs instead of recreating them	2.0.00.01
04/21/10	04/21/10	done	form rows positioned incorrectly if insert when scrolled	2.0.00.01
04/21/10	04/21/10	done	move currrent selection into derived engine	2.0.00.01
04/19/10	04/22/10	done	recent plugins	2.0.00.01
04/19/10	04/22/10	done	export bitmap	2.0.00.01
04/20/10	04/22/10	done	patchbay context menu	2.0.00.01
04/20/10	04/22/10	done	context insert past last tab or patch row should append	2.0.00.01
04/21/10	04/22/10	done	exiting exclusive doesn't set window size	2.0.00.01
04/22/10	04/22/10	done	if no slots, insert empty doesn't select slot	2.0.00.01
04/22/10	04/22/10	done	context menu shouldn't select plugin	2.0.00.01
04/19/10	04/23/10	done	master speed	2.0.00.01
04/22/10	04/23/10	done	convert to .NET	2.0.00.01
04/23/10	04/23/10	done	mixer plugins display multiple bypass checkboxes	2.0.00.01
04/23/10	04/23/10	done	bypass checkboxes of plugins below mixer affect wrong plugins 	2.0.00.01
04/23/10	04/23/10	done	PlayerFF bank/clip select has no effect; PlayerFF must initialize COM for multithreading	2.0.00.01
04/19/10	04/24/10	done	disable input drop list for source plugins	2.0.00.01
04/19/10	04/24/10	done	files bar	2.0.00.01
04/22/10	04/24/10	done	plugin drop	2.0.00.01
04/23/10	04/24/10	done	opening doc doesn't update master speed slider	2.0.00.01
04/23/10	04/24/10	done	read into empty project to avoid partial initialization and subsequent crash	2.0.00.01
04/23/10	04/24/10	done	tabs sometimes don't display correctly; assume solved by partial project init bug fix	2.0.00.01
04/24/10	04/24/10	done	in row view, view width is slightly short and column header doesn't line up for last item	2.0.00.01
04/24/10	04/25/10	done	unpause leaks a frame	2.0.00.01
04/25/10	04/25/10	done	dump state doesn't show plugin output frames or render current frame	2.0.00.01
04/25/10	04/25/10	done	grow or shrink frame array as needed instead of recreating all frames every time	2.0.00.01
04/21/10	04/26/10	done	edit control clipboard commands; HandleDlgKeyMsg, focus edit etc.	2.0.00.02
04/22/10	04/26/10	done	single-monitor exclusive mode	2.0.00.02
04/24/10	04/26/10	done	NET debug crash with feed strob2 and related bugs; clear m_OutFrame AFTER stopping thread	2.0.00.02
04/24/10	04/26/10	done	exiting app in dual monitor exclusive leaves window frame on render monitor; assume m_OutFrame related	2.0.00.02
04/24/10	04/26/10	done	queue view shouldn't depend on options dialog	2.0.00.02
04/26/10	04/26/10	done	refactor engine error handling, add OnError	2.0.00.02
04/24/10	04/27/10	done	exclusive mode task-switch disable	2.0.00.02
04/24/10	04/27/10	done	maximize main frame in dual-monitor exclusive	2.0.00.02
04/24/10	04/27/10	done	hide cursor over render window in exclusive	2.0.00.02
04/26/10	04/27/10	done	if cursor enters render window without crossing caption, resizing cursor is displayed over client area	2.0.00.02
04/26/10	04/27/10	done	accelerators don't work if master bar has focus	2.0.00.02
04/27/10	04/27/10	done	saving with leading empty slot results in corrupt project file; get into default project	2.0.00.02
04/27/10	04/27/10	done	escape while master bar control has focus closes master dialog	2.0.00.02
04/19/10	04/28/10	done	MIDI support	2.0.00.02
04/27/10	04/28/10	done	in MIDI setup, tab control flickers like crazy when frame is resized; files bar tab control does it too	2.0.00.02
04/28/10	04/28/10	done	if app starts with graph view hidden, loading project and showing graph crashes dot	2.0.00.02
04/28/10	04/28/10	done	main frame can't be resized after exiting dual-monitor exclusive	2.0.00.02
04/23/10	04/29/10	done	Resolume's Invert RGB plugin fails with process copy, despite reporting support for it; hack plugin, B64E 1->0	2.0.00.02
04/24/10	04/29/10	done	exiting exclusive gives render window focus; bring main to top	2.0.00.02
04/24/10	04/29/10	done	escape doesn't cancel file drag if files bar doesn't have focus; see Fractice fix	2.0.00.02
04/24/10	04/29/10	done	escape should exit single-monitor exclusive	2.0.00.02
04/26/10	04/29/10	done	since master bar has no gripper, have speed caption enter drag mode	2.0.00.02
04/27/10	04/29/10	done	if docked master bar shows resize cursor and left edge dragged right, scbar crashes; call base CalcFixedLayout	2.0.00.02
04/28/10	04/29/10	done	master speed via MIDI doesn't work	2.0.00.02
04/29/10	04/29/10	done	sizecbar.cpp with miniframe enabled doesn't compile in .NET, afxChNil undefined	2.0.00.02
04/29/10	04/29/10	done	modulated parameters jump unexpectedly if master speed is set to zero	2.0.00.02
04/29/10	04/29/10	done	plugin dragged from files bar doesn't get added to recent plugins	2.0.00.02
04/29/10	04/29/10	done	space key doesn't work if numeric edit has focus	2.0.00.02
04/29/10	04/29/10	done	derive dock frame from SCB miniframe so floating bar resizes dynamically	2.0.00.02
04/29/10	04/29/10	done	no need to use interlocked increment when reading frames from free queue; just set ref count = 1	2.0.00.02
04/19/10	04/30/10	done	edit modulation range commands and slider selection dialog	2.0.00.02
04/24/10	04/30/10	done	history view crashes opening saved history b/c plugin can't be created; use derived engine to store history doc	2.0.00.02
04/29/10	04/30/10	done	pause history without stopping engine	2.0.00.02
04/30/10	04/30/10	done	view and control bar context menus lack status bar help	2.0.00.02
04/30/10	04/30/10	done	space key doesn't work if non-edit control has focus	2.0.00.02
04/19/10	05/01/10	done	metaparameters	2.0.00.03
04/19/10	05/01/10	done	missing files dialog	2.0.00.03
04/24/10	05/01/10	done	show plugin properties	2.0.00.03
04/24/10	05/01/10	done	add thumbnail options to options dialog	2.0.00.03
04/27/10	05/01/10	done	add MIDI device to options dialog	2.0.00.03
04/29/10	05/01/10	done	in queue view, plugin name overwrites time, and time overwrites input label	2.0.00.03
05/01/10	05/01/10	done	entering/exiting full screen resets render thread's frame counter; move reset to engine	2.0.00.03
05/01/10	05/01/10	done	in dual-monitor exclusive, main frame can be moved, occurs in Fractice too; hide caption bar	2.0.00.03
05/01/10	05/01/10	done	bypass via MIDI doesn't update UI; call Bypass, not SetBypass	2.0.00.03
05/01/10	05/01/10	done	metaparameter groups	2.0.00.03
05/01/10	05/01/10	done	if a plugin doesn't load, remainder of project isn't loaded	2.0.00.03
05/01/10	05/01/10	done	allocate two extra frames for render window (one for queue and one for buffer) to avoid possible staggering	2.0.00.03
04/19/10	05/02/10	done	monitor bar	2.0.00.03
05/02/10	05/02/10	done	changing primary monitor's screen resolution freezes output; recreate primary surface	2.0.00.03
05/02/10	05/02/10	done	monitor window paints incorrectly if resized while paused; OnSize must invalidate 	2.0.00.03
04/19/10	05/03/10	done	clipboard	2.0.00.03
04/19/10	05/03/10	done	solo	2.0.00.03
04/28/10	05/03/10	done	in dual-monitor exclusive, dragging main frame's gripper corrupts status bar; disable status bar	2.0.00.03
05/02/10	05/03/10	done	color depth	2.0.00.03
05/02/10	05/03/10	done	in exclusive, Ctrl+Alt+Del followed by Escape causes crash; check for null front/back buffer pointers	2.0.00.03
05/02/10	05/03/10	done	in exclusive, launching task manager leaves main frame full-screen	2.0.00.03
05/03/10	05/03/10	done	load plugin file dialog doesn't use plugin folder	2.0.00.03
05/03/10	05/03/10	done	moving plugin via patch view doesn't set current selection; not calling derived method	2.0.00.03
05/03/10	05/03/10	done	plugin file dialog changes default folder for projects; override doc manager's DoPromptFileName	2.0.00.03
04/19/10	05/04/10	done	plugin input popup menu	2.0.00.03
04/19/10	05/04/10	done	status bar frame counter	2.0.00.03
05/03/10	05/04/10	done	export bitmap before a project is opened gives no error occurred message	2.0.00.03
05/03/10	05/04/10	done	status bar message hides when cursor is moved over bar view	2.0.00.03
04/25/10	05/05/10	done	PlayerFF leaks a frame on each project open/new cycle; must not leave frame attached to surface	2.0.00.03
04/26/10	05/05/10	done	after 24 load/unload cycles, WhorldFF shows default patch; file handle leak in WhorldFF, never reuse a CFile!	2.0.00.03
04/19/10	05/06/10	done	open video; need clip player plugin with path support	2.0.00.03
05/05/10	05/06/10	done	when opening project, delete broken metaparameter links	2.0.00.03
04/22/10	05/07/10	done	video drop	2.0.00.03
04/28/10	05/07/10	done	torture test to open projects repeatedly	2.0.00.03
05/01/10	05/07/10	done	check for buggy Pete plugins	2.0.00.03
05/05/10	05/07/10	done	set frame size causes plugins to lose their parameter settings; clip player also loses current clip	2.0.00.03
05/07/10	05/08/10	done	file video pop up and recent videos	2.0.00.03
05/06/10	05/09/10	done	add clip paths to project doc	2.0.00.03
05/09/10	05/09/10	done	include clips in missing files search	2.0.00.03
04/19/10	05/10/10	done	overlap project loading with rendering	2.0.00.03
05/09/10	05/10/10	done	create freeframe instances before stopping engine to minimize downtime	2.0.00.03
05/05/10	05/11/10	done	PlayerFF leaks a handle for every XviD video opened; XviD registry handle leak, patched by Michael	2.0.00.03
05/12/10	05/12/10	done	if multiple instances of a plugin exist, decorate names to differentiate them	2.0.00.03
04/19/10	05/13/10	done	record; add thread in derived engine, make RunInit virtual and use it to hook last plugin's output	2.0.00.03
05/15/10	05/16/10	done	move pause into engine	2.0.00.03
05/14/10	05/18/10	done	record disrupts feedback due to stop/run; hook output without stopping engine	2.0.00.03
04/23/10	05/19/10	done	frame size drop list in options dialog	2.0.00.03
05/02/10	05/20/10	done	make color depth an option	2.0.00.03
04/19/10	05/21/10	done	help	2.0.00.03
05/13/10	05/21/10	done	record and record info dialogs	2.0.00.03
05/21/10	05/21/10	done	initializing COM multithreaded causes HTML help to hang and not show topics; don't call HH_INITIALIZE	2.0.00.03
05/21/10	05/21/10	done	initializing COM multithreaded causes ShellExecute to fail, breaking hyperlink; use FileProtocolHandler	2.0.00.03
04/19/10	05/22/10	done	random seed options; srand must be called in each plugin thread	2.0.00.03
04/19/10	05/24/10	done	job control	2.0.00.03
05/03/10	05/25/10	done	monitor window garbles 16-bit color due to CDib using 5-5-5 instead of 5-6-5; replace with DirectDraw surface	2.0.00.03
05/03/10	05/25/10	done	halftone makes monitor window's stretch blit nearly take twice as long; make it optional	2.0.00.03
05/24/10	05/25/10	done	end of recording sometimes stalls engine; hot unhook must pulse record input queue read event	2.0.00.03
05/25/10	05/25/10	done	resizing monitor window while paused displays all black	2.0.00.03
05/13/10	05/26/10	done	changing frame size during recording fails or gives garbage output; disallow it	2.0.00.03
05/17/10	05/26/10	done	monitor bar displays stale frame if shown while engine is paused	2.0.00.03
05/28/10	05/28/10	done	record status elapsed time runs while paused, causing invalid remaining time	2.0.00.03
04/19/10	05/31/10	done	undo	2.0.00.03
04/19/10	06/01/10	done	clip undo	2.0.00.03
05/12/10	06/01/10	done	dragging clip onto empty slot should load player into that slot instead of inserting	2.0.00.03
05/31/10	06/01/10	done	metaparameter undo	2.0.00.03
04/19/10	06/02/10	done	document modified flag	2.0.00.03
04/19/10	06/02/10	done	save changes warning option	2.0.00.03
05/31/10	06/02/10	done	automated undo test	2.0.00.03
06/01/10	06/02/10	done	inserting or deleting metaparameter doesn't update group names	2.0.00.03
06/02/10	06/02/10	done	refresh MIDI devices button in options dialog	2.0.00.03
04/19/10	06/03/10	done	master speed undo	2.0.00.03
06/03/10	06/03/10	done	crash deleting effect that outputs to a preceding mixer, separated from it by an empty slot	2.0.00.03
04/19/10	06/04/10	done	MIDI undo	2.0.00.03
06/04/10	06/04/10	done	all row dialogs should clip children	2.0.00.03
06/05/10	06/05/10	done	persist get/set binary using V1 registry key; use profile name instead of app name	2.0.00.03
06/05/10	06/05/10	done	add frame timeout to engine options; useful for large frame sizes	2.0.00.03
08/13/06	06/06/10	done	rendering speed is limited to real-time; V2 adds option to unlock frame rate	2.0.00.03
08/20/06	06/06/10	done	paused image jitters when rapidly repainted; output blit is slightly inconsistent (V1)	2.0.00.03
10/26/06	06/06/10	done	need a way to pause only the clip, not the whole application (V1)	2.0.00.03
10/27/06	06/06/10	done	generate a graph of project's signal routing; could use graphviz (V1)	2.0.00.03
10/28/06	06/06/10	done	right-clicking on an edit control doesn't always update toolbar's edit buttons (V1)	2.0.00.03
01/09/07	06/06/10	done	docked sizing bar's close button won't show hover unless NC mouse move is idle msg (V1)	2.0.00.03
05/01/07	06/06/10	done	long project load delays disrupt performances; overlap plugin instantiation with rendering (V1)	2.0.00.03
09/10/07	06/06/10	done	rendering loop calls memcpy needlessly in some cases; optimize frame buffer usage (V1)	2.0.00.03
12/01/07	06/06/10	done	left-clicking on dialog bar frame freezes output (V1)	2.0.00.03
12/08/07	06/06/10	done	should be able to select clips in PlayerFF by name/thumbnail; extend FreeFrame interface (V1)	2.0.00.03
12/08/07	06/06/10	done	for PlayerFF, store clip selection as path, so playlist edits don't affect previous projects (V1)	2.0.00.03
08/11/08	06/06/10	done	canceling at save changes prompt drops doc from file MRU list (V1)	2.0.00.03
11/03/08	06/06/10	done	help file title is Whorld (V1)	2.0.00.03
05/08/10	06/06/10	done	video properties	2.0.00.03
06/01/10	06/06/10	done	editing record duration and pressing Enter while duration has focus doesn't change duration (V1)	2.0.00.03
04/19/10	06/08/10	done	single step	2.0.00.04
06/08/10	06/08/10	done	opening doc with missing video doesn't give error message or trigger missing links dialog	2.0.00.04
